ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,1.4590000000000001e-06,1.4590000000000001e-06,4.000000000000001e-06,4.000000000000001e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/fromnumeric.py', 53, '_wrapfunc')"
15,1.333e-06,8.886666666666667e-08,1.333e-06,8.886666666666667e-08,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/multiarray.py', 153, 'concatenate')"
934,0.000237425,2.5420235546038544e-07,0.000395924,4.2390149892933624e-07,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/numerictypes.py', 283, 'issubclass_')"
2,1.875e-06,9.375e-07,1.9208e-05,9.604e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/_methods.py', 55, '_any')"
250,2.2222000000000002e-05,8.888800000000001e-08,2.2222000000000002e-05,8.888800000000001e-08,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/multiarray.py', 1080, 'copyto')"
1,7.91e-07,7.91e-07,1.7080000000000002e-06,1.7080000000000002e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/shape_base.py', 215, '_vhstack_dispatcher')"
1,1.7458e-05,1.7458e-05,2.1667e-05,2.1667e-05,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/shape_base.py', 219, 'vstack')"
467,0.000334311,7.158693790149893e-07,0.0007668800000000001,1.6421413276231264e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/numerictypes.py', 357, 'issubdtype')"
1,6.26e-07,6.26e-07,9.170000000000001e-07,9.170000000000001e-07,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/shape_base.py', 207, '_arrays_for_stack_dispatcher')"
1,8.400000000000001e-08,8.400000000000001e-08,8.400000000000001e-08,8.400000000000001e-08,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/shape_base.py', 77, '_atleast_2d_dispatcher')"
1,1.2500000000000002e-07,1.2500000000000002e-07,1.2500000000000002e-07,1.2500000000000002e-07,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/fromnumeric.py', 1021, '_argsort_dispatcher')"
